Ano;Mês;Natureza Jurídica - Código;Natureza Jurídica - Nome;II;IE;IPI;IRPF;IRPJ;IRRF;IOF;ITR;Cofins;Pis/Pasep;CSLL;Cide;Contribuição Previdenciária;CPSSS;Pagamento Unificado;Outras Receitas Administradas;Receitas Não Administradas;;;;;
2016;Jan;101;ÓRGÃO PÚBLICO DO PODER EXECUTIVO FEDERAL;5.490,33;;;106,01;73.504,39;839.098.058,00;;;235.230,45;206.087.437,59;63.415,25;98.023,11;17.895,43;667.551.679,33;115.602.283,03;254.629,35;2.011.809.530,52;;;;;
2016;Jan;102;ÓRGÃO PÚBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;10.353,10;;3.778,41;;650,11;256.521,64;;;522.891,93;60.387.203,96;;;7.083.280,64;;769.088,25;51.901,67;552.362,86;;;;;
2016;Jan;103;ÓRGÃO PÚBLICO DO PODER EXECUTIVO MUNICIPAL;;;;;2.366,54;49.018,93;;;4.180,04;4.027.910,08;1.393,35;;44.457,80;;126.982,14;2.310,14;52.860,65;;;;;
2016;Jan;104;ÓRGÃO PÚBLICO DO PODER LEGISLATIVO FEDERAL;;;;;;118.972.938,73;;;9.855,71;2.135,40;3.285,23;;;91.204.742,28;4.867.047,29;;;;;;;
2016;Jan;105;ÓRGÃO PÚBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;;;;;;15.625,78;;;32,1;155.898,12;;;2.411.749,88;11.098,43;65.122,70;;;;;;;
2016;Jan;106;ÓRGÃO PÚBLICO DO PODER LEGISLATIVO MUNICIPAL;378,84;;;;;51.013,38;;;;33.747,42;;;62.713,38;894,16;34.229,02;49.642,71;55.701,28;;;;;
2016;Jan;107;ÓRGÃO PÚBLICO DO PODER JUDICIÁRIO FEDERAL;;;;;32.974,27;401.411.939,10;;;107.495,17;23.814,00;11.741,57;;3.216,99;551.987.995,93;28.170.581,83;14.689,93;142.304,43;;;;;
2016;Jan;108;ÓRGÃO PÚBLICO DO PODER JUDICIÁRIO ESTADUAL;;;;;;1.321.552,21;;;;1.583.147,75;;;218.102,54;7.645,84;6.445,60;10.297,28;684,71;;;;;
2016;Jan;110;AUTARQUIA FEDERAL;17.606,12;;134,65;;105.973,09;505.684.594,39;1.542,42;;248.538,51;5.463.255,26;40.356,15;141.971,23;24.051,07;754.496.839,15;176.666.902,46;1.074.360,18;167.293,60;;;;;
2016;Jan;111;AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;15.751,74;;;;27.681,35;40.298.624,35;;;299,9;60.974.215,51;1.346,47;;1.434.963,88;;3.026.536,68;222.272,57;36.715,71;;;;;
2016;Jan;112;AUTARQUIA MUNICIPAL;;;;;490,06;118.167,03;;;12.025,46;19.188.520,52;3.940,52;;266.030,47;;258.156,26;163.824,41;30.388,79;;;;;
2016;Jan;113;FUNDAÇÃO PÚBLICA DE DIREITO PÚBLICO FEDERAL;9.695,83;;;;29.225,77;117.574.160,17;;;41.523,47;5.773.902,37;14.021,31;;26.200,50;167.545.259,18;20.977.995,49;252.005,65;53.525,96;;;;;
2016;Jan;114;FUNDAÇÃO PÚBLICA DE DIREITO PÚBLICO ESTADUAL OU DO DISTRITO FEDERAL;174,5;;;;;265.787,33;;;4.032,47;5.799.828,33;;;7.534.382,29;;339.509,61;17.834,34;2.969,61;;;;;
2016;Jan;115;FUNDAÇÃO PÚBLICA DE DIREITO PÚBLICO MUNICIPAL;;;;;;399.606,78;;;7.567,20;2.021.452,53;35;;175.645,83;;279.794,22;15.186,86;40.330,84;;;;;
2016;Jan;116;ÓRGÃO PÚBLICO AUTÔNOMO FEDERAL;;;;;;974.609,20;;;302,2;65,47;100,73;;;53.065.409,97;339.606,08;;;;;;;
2016;Jan;117;ÓRGÃO PÚBLICO AUTÔNOMO ESTADUAL OU DO DISTRITO FEDERAL;;;;;;342,8;;;;59.616,24;;;9.738,18;;165.512,03;;;;;;;
