Exercício;Mês;RF;UA;Valor
2019;Janeiro;1ª;AEROPORTO INTERNACIONAL DE BRASÍLIA;1364570,88
2019;Janeiro;1ª;MUNDO NOVO;2217500
2019;Janeiro;1ª;PONTA PORÃ;15036870,83
2019;Janeiro;2ª;RIO BRANCO;860882,72
2019;Janeiro;2ª;BOA VISTA;4952,1
2019;Janeiro;4ª;JOÃO PESSOA;145090
2019;Janeiro;7ª;NITERÓI;100
2019;Janeiro;8ª;ARAÇATUBA;461240
2019;Janeiro;8ª;LIMEIRA;842389,23
2019;Janeiro;8ª;PIRACICABA;1014131,51
2019;Janeiro;8ª;PORTO DE SANTOS;6100,11
2019;Janeiro;9ª;FLORIANÓPOLIS;8193700
2019;Janeiro;10ª;NOVO HAMBURGO;2450
2019;Janeiro;10ª;SANTO ÂNGELO;600
2019;Fevereiro;1ª;GOIÂNIA;13386652
2019;Fevereiro;1ª;MUNDO NOVO;2964753,4
2019;Fevereiro;1ª;PONTA PORÃ;3423000
2019;Fevereiro;4ª;JOÃO PESSOA;961880
2019;Fevereiro;5ª;SALVADOR;1491982,4
2019;Fevereiro;6ª;UBERABA;8182000
2019;Fevereiro;8ª;ARAÇATUBA;2476800
2019;Fevereiro;8ª;FRANCA;155005
2019;Fevereiro;8ª;AEROPORTO INTERNACIONAL DE SÃO PAULO;405,23
2019;Fevereiro;8ª;PORTO DE SANTOS;32315,32
2019;Fevereiro;8ª;SÃO PAULO;9594585
2019;Fevereiro;9ª;FOZ DO IGUAÇU;8454533,88
2019;Fevereiro;10ª;NOVO HAMBURGO;6400
2019;Fevereiro;10ª;PORTO ALEGRE;4998300
2019;Março;1ª;AEROPORTO INTERNACIONAL DE BRASÍLIA;1787,7
2019;Março;1ª;MUNDO NOVO;3812500
2019;Março;1ª;PONTA PORÃ;15535000
2019;Março;2ª;BOA VISTA;2173,9
2019;Março;3ª;FORTALEZA;3384158,22
2019;Março;5ª;ARACAJU;7077606,2
2019;Março;6ª;BELO HORIZONTE;5733999,61
2019;Março;7ª;PORTO DE VITÓRIA;2485000
2019;Março;8ª;PRESIDENTE PRUDENTE;2589601,48
2019;Março;8ª;TAUBATÉ;5258153,98
2019;Março;8ª;SOROCABA;11724099,57
2019;Março;8ª;ARARAQUARA;2392044,06
2019;Março;8ª;JUNDIAÍ;19859
2019;Março;8ª;AEROPORTO INTERNACIONAL DE SÃO PAULO;989,45
2019;Março;8ª;PORTO DE SANTOS;22592,56
2019;Março;9ª;FOZ DO IGUAÇU;6860155,06
2019;Março;9ª;JOAÇABA;7499861,8
2019;Março;10ª;PASSO FUNDO;1356385
2019;Março;10ª;SANTANA DO LIVRAMENTO;1770353,5
2019;Abril;1ª;AEROPORTO INTERNACIONAL DE BRASÍLIA;827068,98
2019;Abril;1ª;CAMPO GRANDE;31898079,1
2019;Abril;1ª;MUNDO NOVO;22946866,7
2019;Abril;1ª;PONTA PORÃ;3827673
2019;Abril;4ª;MACEIÓ;530687,5
2019;Abril;6ª;UBERABA;5875000
2019;Abril;6ª;BELO HORIZONTE;292355
2019;Abril;7ª;NITERÓI;4000
2019;Abril;8ª;ARAÇATUBA;705300
2019;Abril;8ª;MARÍLIA;2102500
2019;Abril;8ª;JUNDIAÍ;740
2019;Abril;8ª;AEROPORTO INTERNACIONAL DE VIRACOPOS;95,48
2019;Abril;8ª;SÃO PAULO;783140
2019;Abril;9ª;FOZ DO IGUAÇU;13815340,2
2019;Abril;9ª;LAGES;66020
2019;Abril;10ª;SANTA MARIA;2504050,88
2019;Abril;10ª;PASSO FUNDO;847420
2019;Maio;1ª;AEROPORTO INTERNACIONAL DE BRASÍLIA;336618,8
2019;Maio;1ª;ANÁPOLIS;221855
2019;Maio;1ª;CAMPO GRANDE;22308200
2019;Maio;1ª;MUNDO NOVO;9952500
2019;Maio;1ª;PONTA PORÃ;3590345,8
2019;Maio;2ª;BOA VISTA;521,6
2019;Maio;3ª;JUAZEIRO DO NORTE;2287636,55
2019;Maio;3ª;IMPERATRIZ;3940000
2019;Maio;4ª;RECIFE;4435235,5
2019;Maio;6ª;JUIZ DE FORA;714382,7
2019;Maio;7ª;CAMPOS DOS GOYTACAZES;22318
2019;Maio;8ª;ARAÇATUBA;491200
2019;Maio;8ª;PRESIDENTE PRUDENTE;1544772,88
2019;Maio;8ª;SÃO JOSÉ DO RIO PRETO;31210579,57
2019;Maio;8ª;SOROCABA;10363829,71
2019;Maio;8ª;LIMEIRA;257035,38
2019;Maio;8ª;MARÍLIA;3002881,8
2019;Maio;8ª;AEROPORTO INTERNACIONAL DE SÃO PAULO;8059,85
2019;Maio;8ª;PORTO DE SANTOS;373438,16
2019;Maio;9ª;CASCAVEL;38167359,52
2019;Maio;10ª;SANTA MARIA;5819500
2019;Maio;10ª;CAXIAS DO SUL;1167707,32
2019;Maio;10ª;NOVO HAMBURGO;31264
2019;Maio;10ª;SANTA CRUZ DO SUL;2592974,1
2019;Maio;10ª;PORTO ALEGRE;1903420
2019;Maio;10ª;SANTANA DO LIVRAMENTO;300300,38
2019;Junho;1ª;AEROPORTO INTERNACIONAL DE BRASÍLIA;991800
2019;Junho;1ª;MUNDO NOVO;3222500
2019;Junho;2ª;MACAPÁ;2485
2019;Junho;2ª;BOA VISTA;8278,3
2019;Junho;3ª;FORTALEZA;4158826,8
2019;Junho;5ª;FEIRA DE SANTANA;1349360,6
